userId;userName;mediaId;tags;createdTime;locationName;latitude;longitude
261193461;olgabruofficial;261193461;[core, motivation, fitnessmodel, estiramiento, fitnessmotivation, gym, bodybalance, instahealth, fitsport, bodybuilding, train, determinacion, trainingwitholgabru, active, fuerzayequilibrio, olgabru5, cardio, instaday, sportstyle, training, balance, fit, womanstyle, healthy, instafitness, instagood, health, fitnessgirls, muscle, contrologia];1433141166;INVASA;39.4777794;-0.36239
1120759065;annaigor_;1120759065;[];1433141151;L'Oceanogràfic;39.45279;-0.34812
712288929;dianamemetova;712288929;[valencia, валенсия, испания, spain, мояиспания];1433141121;Ciutat de les Arts i les Ciències - Ciudad de las Artes y las Ciencias;39.474546178;-0.367076646
1120759065;annaigor_;1120759065;[];1433141115;L'Oceanogràfic;39.45279;-0.34812
1120759065;annaigor_;1120759065;[];1433141075;Holiday Inn Express Ciudad de las Ciencias;39.4513092;-0.3579183
1711719909;karlosvillan;1711719909;[art, streetart, reporter, jaimei, awards, igers, arquitecture, tourism, arquitectura, me, nobelprize, army, mediterraneanlife, igersvalencia, turismo, instagood, monument, valencia, travel, photooftheday];1433145464;S Domingo Covent, Vlc ;39.473846667;-0.36843
32065201;pedroribs;32065201;[calatrava, spain];1433145341;Ciutat de les Arts i les Ciències - Ciudad de las Artes y las Ciencias;39.474546178;-0.367076646
1489633463;pacoreyes8;1489633463;[ibiza, portinatx];1433145213;İbiza;39.474633932;-0.369879841
340945109;for91daystravelblog;340945109;[valencia, xerea, santbult, breakfast];1433145168;Brunch Corner;39.47505457;-0.370584366
1767223889;maritahernandez_;1767223889;[];1433144785;Buenos dias bebes;39.484725367;-0.3580184
20917511;gmmanfredi;20917511;[valencia, calatrava, workshop, architecture];1433149062;Ciutat de les Arts i les Ciències - Ciudad de las Artes y las Ciencias;39.474546178;-0.367076646
192221573;alexgranic;192221573;[];1433149051;Avenida del Puerto Valencia;39.459258251;-0.333663209
268393018;r_onixsteez;268393018;[tattoos, weednosdias, guywithtattoos, weed, guywithpiercing, guywithplugs, loveplugs, tattooedguy, tattoedandnaked, legalize, tattoosandpiercings, 18mm, lovelyweed, plugsporn, septum, lovelyink];1433149049;en el eden;39.4517522;-0.3336718
1652014018;creationmag;1652014018;[fashionmagazine, woman, old, katherinehepburn, read, diva, instagood, nuelpuig, magazine, katherine, photooftheday];1433149024;www.creationvlc.es;39.4730094;-0.3984428
1365744073;alan.neumann;1365744073;[];1433149017;Mallorca;39.454835016;-0.329383735
1399184153;rtemacellum;1399184153;[igersspain, foodie, gastronomía, food, igersvalencia, gastronomia, igers, delicious, foodgasm, foodpic, igerscomunitat, yummy, restaurant, gourmet, restaurante, cooking, instagramers, instagood, instafood, amazing, yum, foodpics, valencia, foodoftheday];1433148945;Restaurante Macel·lum;39.477172558;-0.372138706
343137465;ladiedyana;343137465;[sunnyday];1433148916;Valencia;39.466666667;-0.383333333
2100528439;chinatsu0101;2100528439;[h, プチプラ, ぷちぷらコーデ];1433148886;Valencia;39.466666667;-0.383333333
353263109;aliciacuenca9;353263109;[];1433148760;La Tagliatella;39.479946591;-0.390910331
342290332;itttzgs_;342290332;[];1433152699;💙FORÇA BARÇA❤;39.4975084;-0.3747166
255297490;ciroascanio;255297490;[exploring, españa, malvarosabeach, vintage, sunny, erasmus, letsgotothebeach, warm, summer, playa, elcabayal, spagna, valencia, friends, barrio];1433152603;Valencia Beach;39.467220776;-0.323684789
25290169;cvillamoreno;25290169;[summer, monday, dog, holidays, smile, valencia, nice, spain, happy];1433152566;España - Valencia;39.465162614;-0.347985523
326153142;wearestrap;326153142;[];1433152429;wearestrap.com;39.460103684;-0.367340259
458717914;cacacappell;458717914;[];1433152320;Port of Valencia;39.4457;-0.3199
2098412842;rosapedro_;2098412842;[valencia, primavera, junio];1433152198;Pont de Fusta;39.482253478;-0.3721363
1153264990;puro1922;1153264990;[amantesdemontaña, cetv, salewa, run, runboyrun, runner, neverstoprunning, amuerte, asics, neverstopexploring, tavernesdelavalldigna, running, senderismo, ferrateovalencia, nopiensescorre, spain, ferrateo, beal, viaferrata, rapel, ferrata, rappel, trailrunner, trailrunning, trekking, valencia, nopainnogain, trailer, buff];1433156366;Cheste Circuito Ricardo Tormo;39.468982496;-0.382686734
401871232;jordana_arrola;401871232;[];1433156353;Mercado De Ruzafa;39.4629097;-0.37155
40328102;renee_lynn__;40328102;[malvarosa, playadelamalvarosa, beachbum, carnival, valencia];1433156263;Valencia Beach;39.467220776;-0.323684789
