1;725459.399893339956179;4372610.107194671407342;MERCADO CENTRAL;6;004116;47820;963525478;8;monument
2;725818.399018710129894;4372507.106071072630584;PALACIO MARQUES DE DOS AGUAS;6;004287;64470;963516392;6;monument
3;725476.400360956788063;4372677.106788554228842;PLAZA DEL MERCADO;;005762;0;0;3;monument
4;725762.401831573224626;4372925.104410943575203;MONUMENTOS DE LA PLAZA DE LA VIRGEN;;004269;0;0;0;monument
5;725625.394661780679598;4371868.110010265372694;ESTACION DEL NORTE;24;002162;38100;0;8;monument
6;725500.400543468887918;4372705.106547094881535;LONJA;S/N;004110;47820;963525478;3;monument
7;725802.401758293621242;4372920.104271567426622;BASILICA;54;000073;18540;963517750;5;monument
8;725777.930779632763006;4372849.758384290151298;CATEDRAL;S/N;004126;78000;963918127;3;monument
9;725735.631791024003178;4372812.377882728353143;MIGUELETE;S/N;002153;78000;963918127;3;monument
11;725777.396759731927887;4372167.107818785123527;CORREOS;24;002155;17760;963102730;9;monument
14;725690.404039961867966;4373241.103233434259892;TORRES DE SERRANOS;S/N;006107;31980;963919070;3;monument
16;725019.401910546119325;4372836.107887487858534;TORRES DE QUART;1;006101;7200;0;3;monument
20;726571.665957831777632;4372594.709458128549159;PUENTE DE LA EXPOSICIÓN;10;005720;23220;0;10;monument
21;727734.39187064988073;4370759.101072469726205;CIUDAD ARTES Y CIENCIAS;;081472;0;0;10;monument
22;725674.400205460726283;4372673.105947871692479;IGLESIA DE SANTA CATALINA;S/N;004188;69720;963917713;3;monument
23;725947.398920513223857;4372499.10551618412137;REAL COLEGIO DE CORPUS CHRISTI (PATRIARCA);1;006115;52440;963514176;4;monument
26;725656.399840309866704;4372618.106285738758743;PLAZA REDONDA;;004151;42030;0;7;monument
27;725988.098290066351183;4372710.64565499778837;IGLESIA DE SAN JUAN DEL HOSPITAL;5;004130;74100;963922965;3;monument
29;729654.374336832901463;4371045.959886242635548;PUERTO DE VALENCIA;;002163;0;0;8;monument
31;725859.821331651415676;4372863.404290896840394;CRIPTA DE LA CÁRCEL DE SAN VICENTE;1;002177;7110;963941417;1;monument
32;725437.400472718290985;4372689.106897675432265;IGLESIA DE LOS SANTOS JUANES;S/N;006106;0;963916354;5;monument
33;726784.397542531951331;4372282.10237754508853;PUENTE DEL MAR;;004250;0;0;4;monument
35;726599.40100103453733;4372922.101008323021233;PALACIO Y BAÑOS DEL ALMIRANTE;S/N;004154;8520;0;3;monument
36;725666.402173808193766;4372961.104630494490266;PALACIO DE LA GENERALITAT;2;004109;12660;963863461;3;monument
37;725426.405622537597083;4373407.103372258134186;MUSEO BENLLIURE;23;007541;11400;963911662;7;museum
39;723409.426260128500871;4375076.097811810672283;PALAU CONGRESSOS;;081575;0;0;10;monument
42;725364.395951928221621;4372064.11039802338928;IGLESIA PARROQUIAL DE SAN AGUSTÖN;5;004133;0;963512480;3;monument
43;726163.416446014307439;4375505.093007089570165;ANTIGUO MONASTERIO DE SAN MIGUEL DE LOS REYES;284;000070;62610;963874000;4;monument
44;725965.398613905417733;4372452.105637992732227;UNIVERSIDAD DE VALENCIA;2;006110;52440;963864100;4;monument
46;725066.404234780347906;4373143.106029193848372;BENEFICENCIA;36;004190;2850;963883565;7;monument
47;726256.78844016068615;4372727.889484227634966;REAL CONVENTO DE SANTO DOMINGO;22;006114;72720;961963000;3;monument
48;725522.40227276540827;4372953.105244190432131;CALLE CABALLEROS;14 - 16 y 18;000059;12660;0;3;monument
51;725837.398669274523854;4372455.106218593195081;IGLESIA DE SAN JUAN DE LA CRUZ;6;004189;6480;963522325;5;monument
