"POLYGON ((729143.256 4379591.58,729046.321 4379622.58299999963,728981.072 4379655.084,728863.324 4379733.087,728853.075 4379736.088,728706.015 4379871.592,728667.954 4379829.592,728621.705 4379790.592,728547.706 4379810.09399999958,728648.454 4379965.09399999958,728580.58 4380015.09499999974,728542.518 4379954.59499999974,728493.207 4379976.096,728518.894 4380014.096,728439.271 4380050.098,728467.02 4380120.598,728491.707 4380183.098,728496.894 4380218.599,728519.518 4380297.599,728622.766 4380273.597,728676.203 4380259.596,728813.012 4380219.59399999958,728837.636 4380301.59499999974,728848.949 4380319.09499999974,728786.262 4380335.596,728810.949 4380435.097,728820.199 4380484.097,728786.262 4380491.598,728780.075 4380540.598,728746.138 4380610.6,728733.826 4380643.6,728735.826 4380669.1,728761.575 4380709.1,728764.637 4380720.60099999979,728694.702 4380718.60099999979,728658.765 4380685.60099999979,728636.14 4380686.602,728589.829 4380712.102,728570.33 4380717.603,728545.642 4380728.603,728505.518 4380759.604,728448.958 4380788.105,728385.959 4380831.10599999968,728297.523 4380877.10699999984,728254.337 4380901.108,728240.963 4380910.108,728295.461 4381043.609,728349.085 4381189.11,728360.396 4381194.109,728429.27 4381155.109,728477.643 4381135.608,728598.953 4381065.60599999968,728623.64 4381111.10599999968,728642.139 4381116.10599999968,728649.327 4381143.60699999984,728684.263 4381147.10599999968,728716.137 4381236.10699999984,728717.2 4381292.608,728739.824 4381334.108,728753.699 4381377.108,728907.945 4381310.60699999984,728922.32 4381332.10699999984,728952.131 4381383.60699999984,729040.567 4381343.60599999968,729056.003 4381393.60699999984,729071.441 4381442.10699999984,729088.877 4381449.10699999984,729137.189 4381442.10699999984,729151.626 4381448.10699999984,729176.313 4381448.10699999984,729230.812 4381424.60599999968,729225.062 4381408.60599999968,729215.437 4381386.105,729189.25 4381328.105,729165.876 4381279.604,729123.877 4381294.605,729096.128 4381226.604,729100.253 4381217.604,729048.942 4381127.603,729118.752 4381099.102,729183.189 4381071.60099999979,729203.125 4381058.60099999979,729260.187 4381015.099,729221.563 4380949.099,729273.687 4380919.598,729457.183 4380844.59499999974,729460.87 4380630.591,729427.246 4380629.591,729361.436 4380649.093,729293.562 4380662.59399999958,729269.438 4380689.09399999958,729248.75 4380719.59499999974,729199.19 4380661.09499999974,729164.566 4380595.09399999958,729154.878 4380587.59399999958,729144.128 4380565.09399999958,729144.003 4380550.59399999958,729112.192 4380497.093,729112.754 4380485.093,729068.63 4380388.093,729192.128 4380332.09,729159.753 4380269.59,729247.065 4380211.087,729208.003 4380171.587,729185.503 4380135.587,729190.816 4380131.087,729157.504 4380064.587,729133.255 4380029.587,729348.125 4379894.581,729407.937 4379866.08,729428.249 4379750.07699999958,729400.438 4379696.57699999958,729284.377 4379780.08,729162.005 4379821.58299999963,729160.818 4379766.582,729151.693 4379635.081,729143.256 4379591.58))";POBLATS DEL NORD;17
"POLYGON ((726901.79 4377338.599,726805.229 4377378.6,726812.041 4377406.1,726798.416 4377411.1,726778.666 4377460.1,726771.166 4377513.1,726764.354 4377564.1,726748.979 4377652.60099999979,726728.541 4377801.10099999979,726753.854 4377846.60099999979,726701.042 4377901.102,726656.73 4378006.602,726578.355 4378086.602,726496.543 4378120.603,726351.669 4378188.603,726449.793 4378489.104,726343.732 4378527.604,726357.169 4378561.104,726314.607 4378599.604,726410.419 4378803.105,726518.981 4378743.605,726539.356 4378775.605,726645.856 4378722.105,726691.231 4378830.605,726589.606 4378887.105,726592.356 4378985.60599999968,726577.044 4379101.10599999968,726609.418 4379218.60699999984,727488.477 4378848.605,727402.539 4378601.604,727283.914 4378307.103,727481.413 4378209.103,727494.851 4378196.103,727568.851 4378159.603,727670.787 4378111.602,727600.537 4378028.602,727531.851 4377958.102,727465.538 4377898.10099999979,727446.163 4377908.102,727407.726 4377890.10099999979,727326.664 4377913.602,727303.852 4377863.10099999979,727219.227 4377801.60099999979,727126.414 4377672.10099999979,727077.852 4377626.1,727038.353 4377573.1,726981.915 4377532.1,726955.978 4377469.1,726931.165 4377410.6,726901.79 4377338.599))";POBLATS DEL NORD;17
"POLYGON ((724502.539 4374248.10099999979,724720.039 4374321.6,724784.914 4374342.6,724821.352 4374354.1,725125.352 4374458.599,725267.352 4374504.598,725431.727 4374556.098,725527.227 4374586.597,725621.101 4374614.597,725831.851 4374676.096,725933.975 4374589.597,726060.099 4374477.097,726315.159 4374236.097,726257.034 4374169.098,726198.971 4374050.098,726232.971 4374039.598,726241.533 4374059.598,726283.096 4374044.598,726295.971 4374078.098,726390.408 4374050.098,726481.97 4374022.597,726582.907 4373992.097,726640.032 4374054.597,726743.031 4373961.097,726740.906 4373943.097,726722.031 4373888.597,726653.593 4373690.598,726433.59 4373055.10099999979,726365.402 4373025.102,726315.589 4372958.102,726235.402 4372987.102,726163.527 4373035.602,725989.653 4373166.602,725968.716 4373181.102,725851.529 4373263.103,725832.842 4373281.103,725771.655 4373338.602,725631.343 4373442.103,725515.469 4373506.603,725415.032 4373543.103,725317.72 4373557.103,725246.845 4373567.103,725017.284 4373747.103,724879.16 4373867.603,724695.1 4374036.602,724673.725 4374059.602,724502.539 4374248.10099999979))";LA SAIDIA;5
"POLYGON ((726852.844 4373902.597,726816.593 4373797.097,727511.026 4373172.597,727528.339 4373224.096,727696.089 4373167.096,727604.025 4372927.097,727727.213 4372886.096,727573.711 4372440.098,727381.896 4371882.6,727288.395 4371611.102,727232.207 4371567.102,727134.269 4371525.103,727103.707 4371611.603,727019.208 4371805.603,726954.896 4371946.603,726896.46 4372076.602,726830.21 4372190.102,726771.836 4372279.602,726703.523 4372385.602,726570.087 4372592.102,726315.589 4372958.102,726365.402 4373025.102,726433.59 4373055.10099999979,726653.593 4373690.598,726722.031 4373888.597,726740.906 4373943.097,726852.844 4373902.597))";EL PLA DEL REAL;6
"POLYGON ((725246.845 4373567.103,725317.72 4373557.103,725415.032 4373543.103,725515.469 4373506.603,725631.343 4373442.103,725771.655 4373338.602,725832.842 4373281.103,725851.529 4373263.103,725968.716 4373181.102,725989.653 4373166.602,726163.527 4373035.602,726235.402 4372987.102,726315.589 4372958.102,726570.087 4372592.102,726369.837 4372471.604,726346.212 4372449.604,726200.085 4372270.605,726141.397 4372205.60599999968,725991.459 4372063.60699999984,725910.959 4371984.108,725823.77 4371905.609,725684.395 4371926.609,725647.333 4371937.11,725482.02 4371983.11,725395.771 4372007.11099999957,725305.271 4372048.61099999957,725262.334 4372068.11099999957,725078.96 4372240.11099999957,725068.46 4372269.11099999957,725034.336 4372373.61,725022.087 4372411.11,725022.024 4372438.61,725021.962 4372511.11,725022.65 4372617.109,725000.59 4372817.608,724997.902 4372842.108,725020.092 4373046.10699999984,725029.092 4373128.60599999968,725083.719 4373345.605,725048.97 4373442.104,725246.845 4373567.103))";CIUTAT VELLA;1
"POLYGON ((725048.97 4373442.104,725083.719 4373345.605,725029.092 4373128.60599999968,725020.092 4373046.10699999984,724997.902 4372842.108,725000.59 4372817.608,725022.65 4372617.109,725021.962 4372511.11,725022.024 4372438.61,725022.087 4372411.11,725034.336 4372373.61,725068.46 4372269.11099999957,725078.96 4372240.11099999957,725262.334 4372068.11099999957,725305.271 4372048.61099999957,725395.771 4372007.11099999957,725482.02 4371983.11,725647.333 4371937.11,725684.395 4371926.609,725658.707 4371823.11,725564.892 4371444.61199999973,725522.078 4371279.613,725514.703 4371251.114,725320.072 4370502.619,725290.823 4370567.619,725242.76 4370633.119,725206.135 4370678.619,725111.324 4370844.61799999978,725151.826 4371085.11699999962,725126.013 4371091.11699999962,725013.076 4371024.61799999978,724909.514 4371202.11799999978,724803.828 4371381.11699999962,724724.516 4371515.11699999962,724690.08 4371572.61699999962,724529.769 4371847.116,724523.707 4371854.616,724442.708 4371988.616,724210.212 4372373.614,724107.275 4372544.114,724001.715 4372718.613,723959.528 4372798.61199999973,724111.716 4372893.61099999957,724303.529 4373012.61,724380.592 4373060.609,724433.78 4373095.109,724450.093 4373101.109,724612.905 4373158.608,724713.03 4373215.60699999984,724769.469 4373253.60599999968,724816.219 4373285.10599999968,725041.782 4373437.605,725048.97 4373442.104))";EXTRAMURS;3
"POLYGON ((730427.58 4382903.614,730457.392 4382875.114,730482.642 4382885.614,730512.577 4382957.115,730558.639 4382945.115,730573.074 4383091.616,730656.946 4383075.616,730703.07 4383054.115,730761.194 4383026.115,730826.067 4383000.115,730947.127 4382956.614,731000.375 4382935.114,731099.748 4382910.113,731155.871 4382897.613,731177.807 4382927.613,731239.743 4382919.613,731292.929 4382916.613,731331.678 4382911.113,731346.866 4382896.113,731413.239 4382882.11199999973,731420.114 4382862.61199999973,731800.354 4382763.61,731812.791 4382726.11,731841.854 4382705.609,731912.352 4382680.609,731966.288 4382659.608,732027.099 4382630.608,732049.224 4382601.60699999984,732143.222 4382556.10699999984,732213.783 4382523.10599999968,732243.657 4382514.10599999968,732336.343 4382467.105,732428.966 4382425.603,732788.459 4382251.597,732813.333 4382226.596,732886.019 4382171.59499999974,732866.395 4382154.09499999974,732851.271 4382136.09399999958,732807.023 4382087.09399999958,732742.839 4382000.09399999958,732706.153 4381939.59399999958,732666.844 4381854.093,732622.221 4381786.092,732586.785 4381707.09,732592.723 4381677.08899999969,732577.724 4381645.588,732530.287 4381606.087,732513.726 4381565.086,732477.29 4381457.082,732496.665 4381444.582,732500.853 4381426.581,732488.353 4381421.081,732463.041 4381443.582,732432.292 4381396.581,732484.229 4381354.57799999975,732482.854 4381341.07799999975,732460.73 4381346.57799999975,732451.042 4381346.579,732424.292 4381382.58,732405.418 4381347.579,732347.358 4381383.581,732294.295 4381461.584,732179.547 4381532.088,732010.864 4381608.092,731869.867 4381677.09499999974,731760.62 4381728.097,731620.248 4381795.1,731570.873 4381827.6,731419.752 4381893.602,731357.565 4381926.602,731246.817 4381987.603,731081.695 4382063.605,731095.069 4382145.10599999968,730991.696 4382204.60699999984,730926.698 4382244.60699999984,730911.511 4382260.10699999984,730860.387 4382289.108,730814.763 4382314.108,730742.827 4382354.109,730713.265 4382374.609,730684.641 4382402.109,730610.954 4382454.61,730516.081 4382503.11099999957,730500.895 4382501.61099999957,730492.582 4382483.61099999957,730475.208 4382470.11099999957,730433.147 4382468.61099999957,730401.335 4382471.11099999957,730373.711 4382482.61099999957,730346.024 4382488.11099999957,730325.275 4382496.11099999957,730298.65 4382522.11199999973,730255.026 4382544.61199999973,730289.65 4382603.11199999973,730330.96 4382664.113,730363.772 4382738.113,730354.834 4382742.613,730389.895 4382806.114,730399.956 4382838.614,730414.019 4382882.114,730427.58 4382903.614))";POBLATS DEL NORD;17
"POLYGON ((726703.523 4372385.602,726771.836 4372279.602,726830.21 4372190.102,726896.46 4372076.602,726954.896 4371946.603,727019.208 4371805.603,727103.707 4371611.603,727134.269 4371525.103,726929.018 4371434.104,726674.392 4371286.10599999968,726587.08 4371236.10699999984,726418.704 4371137.109,726336.015 4371088.109,726149.889 4370982.11099999957,725936.013 4370857.613,725783.387 4370770.614,725663.575 4370704.615,725557.574 4370642.616,725320.072 4370502.619,725514.703 4371251.114,725522.078 4371279.613,725564.892 4371444.61199999973,725658.707 4371823.11,725684.395 4371926.609,725823.77 4371905.609,725910.959 4371984.108,725991.459 4372063.60699999984,726141.397 4372205.60599999968,726200.085 4372270.605,726346.212 4372449.604,726369.837 4372471.604,726570.087 4372592.102,726703.523 4372385.602))";L'EIXAMPLE;2
"POLYGON ((727573.711 4372440.098,728010.334 4372285.086,728445.265 4372138.55599999987,728449.578 4372151.05599999987,728471.14 4372164.05399999954,728503.515 4372153.552,728516.327 4372135.051,728519.827 4372116.55,728672.388 4372066.54,729225.319 4371874.99899999984,729140.694 4371619.50399999972,729098.131 4371547.506,729036.82 4371471.511,728966.071 4371397.01599999983,728896.633 4371324.02099999972,728862.696 4371265.023,728844.946 4371210.025,728803.508 4371007.02699999977,728782.446 4370951.029,728749.696 4370543.531,728612.072 4370509.042,728543.573 4370507.048,728453.449 4370515.055,728391.636 4370527.06,728332.387 4370538.065,728239.076 4370567.07299999986,728091.703 4370675.085,728087.64 4370679.585,727954.392 4370799.09499999974,727768.456 4370942.1,727556.206 4371088.60099999979,727312.206 4371166.603,727134.269 4371525.103,727232.207 4371567.102,727288.395 4371611.102,727381.896 4371882.6,727573.711 4372440.098))";CAMINS AL GRAU;12
"POLYGON ((724712.953 4371325.11799999978,724803.828 4371381.11699999962,724909.514 4371202.11799999978,725013.076 4371024.61799999978,725126.013 4371091.11699999962,725151.826 4371085.11699999962,725111.324 4370844.61799999978,725206.135 4370678.619,725242.76 4370633.119,725290.823 4370567.619,725320.072 4370502.619,725201.38 4369930.12299999967,725038.562 4369262.62799999956,724867.097 4368552.15099999961,724635.535 4368581.15199999977,724359.663 4368666.15099999961,723920.731 4368885.648,723651.115 4369141.642,723451.118 4369367.64,723224.245 4369666.14,723373.936 4369882.637,723394.811 4369928.137,723475.688 4370028.63499999978,723635.127 4370219.133,723851.693 4370455.12899999972,723926.193 4370384.62899999972,723832.753 4370275.631,723883.878 4370219.131,724061.877 4370038.131,724172.939 4369941.131,724535.259 4370684.62299999967,724704.2 4371032.62,724644.637 4371073.62,724755.577 4371251.61799999978,724712.953 4371325.11799999978))";JESUS;9
